Assembly Center origin,latitude1,longitude1,Relocation Center destination,latitude2,longitude2,Transfer order number,Date of Departure,Date of Arrival,Persons transferred,
Santa Anita,34.14056064351376,-118.0444206861681,Jerome,33.41131951904563,-91.46229486564768,24,10/19/1942,10/22/1942,386,
Fresno,36.73338487706776,-119.7472619407948,Jerome,33.41131951904563,-91.46229486564768,25,10/2/1942,10/6/1942,202,
Fresno,36.73338487706776,-119.7472619407948,Jerome,33.41131951904563,-91.46229486564768,25,10/12/1942,10/16/1942,463,
Fresno,36.73338487706776,-119.7472619407948,Jerome,33.41131951904563,-91.46229486564768,25,10/14/1942,10/18/1942,472,
Fresno,36.73338487706776,-119.7472619407948,Jerome,33.41131951904563,-91.46229486564768,25,10/16/1942,10/20/1942,466,
Fresno,36.73338487706776,-119.7472619407948,Jerome,33.41131951904563,-91.46229486564768,25,10/18/1942,10/22/1942,468,
Fresno,36.73338487706776,-119.7472619407948,Jerome,33.41131951904563,-91.46229486564768,25,10/20/1942,10/24/1942,459,
Fresno,36.73338487706776,-119.7472619407948,Jerome,33.41131951904563,-91.46229486564768,25,10/22/1942,10/26/1942,437,
Fresno,36.73338487706776,-119.7472619407948,Jerome,33.41131951904563,-91.46229486564768,25,10/24/1942,10/28/1942,438,
Fresno,36.73338487706776,-119.7472619407948,Jerome,33.41131951904563,-91.46229486564768,25,10/26/1942,10/30/1942,462,
Fresno,36.73338487706776,-119.7472619407948,Jerome,33.41131951904563,-91.46229486564768,25,10/28/1942,11/1/1942,479,
Fresno,36.73338487706776,-119.7472619407948,Jerome,33.41131951904563,-91.46229486564768,25,10/30/1942,11/3/1942,415,
Santa Anita,34.14056064351376,-118.0444206861681,Gila River,33.07215651719934,-111.8888227381422,26,10/17/1942,10/18/1942,533,
Santa Anita,34.14056064351376,-118.0444206861681,Gila River,33.07215651719934,-111.8888227381422,26,10/18/1942,10/19/1942,514,
Stockton,37.93729616824986,-121.267282529392,Gila River,33.07215651719934,-111.8888227381422,27,10/16/1942,10/17/1942,220,
Fresno,36.73338487706776,-119.7472619407948,Gila River,33.07215651719934,-111.8888227381422,27,10/16/1942,10/17/1942,156,
Santa Anita,34.14056064351376,-118.0444206861681,Heart Mountain,44.670525,-108.9498194444444,28,10/27/1942,10/30/1942,105,
Santa Anita,34.14056064351376,-118.0444206861681,Granada,38.05578345756824,-102.3293222262865,28,10/27/1942,10/29/1942,120,
Santa Anita,34.14056064351376,-118.0444206861681,Jerome,33.41131951904563,-91.46229486564768,28,10/27/1942,10/30/1942,257,
Santa Anita,34.14056064351376,-118.0444206861681,Rohwer,33.76635073468211,-91.275882359956,28,10/27/1942,10/31/1942,173,
Santa Anita,34.14056064351376,-118.0444206861681,Gila River,33.07215651719934,-111.8888227381422,29,10/26/1942,10/27/1942,224,
Santa Anita,34.14056064351376,-118.0444206861681,Colorado River,33.98762619602396,-114.4012194032189,29,10/26/1942,10/26/1942,93,
Santa Anita,34.14056064351376,-118.0444206861681,Manzanar,36.72678949253115,-118.1539953486459,29,10/26/1942,10/27/1942,65,
