"rowid","a","far_id","camp","pre-evacuation_address","pre-evacuation_state","final_departure_destination","final_departure_state","date_of_final_departure","departure_latitude","departure_longitude","preevacuation_latitude","preevacuation_longitude"
78746,98869,"jerome1-1078","6-jerome","Los Angeles","CA","Ann Arbor","MI","1944-01-06 00:00:00",42.266638,-83.849042,33.973951,-118.248405
78747,98871,"jerome1-1080","6-jerome","Los Angeles","CA","Chicago","IL","1944-05-22 00:00:00",41.88531,-87.62213,33.973951,-118.248405
78748,98877,"jerome1-1086","6-jerome","Torrance","CA","Rockford","IL","1943-07-22 00:00:00",42.33342,-89.157198,33.835665,-118.303805
78749,98878,"jerome1-1087","6-jerome","Torrance","CA","Chicago","IL","1943-07-14 00:00:00",41.88531,-87.62213,33.835665,-118.303805
78750,98881,"jerome1-1090","6-jerome","Fresno","CA","Columbus","OH","1943-06-22 00:00:00",40.100924,-83.013402,36.8411,-119.801015
78751,98882,"jerome1-1091","6-jerome","Fresno","CA","Columbus","OH","1943-07-07 00:00:00",40.100924,-83.013402,36.8411,-119.801015
78752,98887,"jerome1-1096","6-jerome","Hanford","CA","Alton","IL","1943-08-27 00:00:00",38.8906,-90.18428,36.220468,-119.71776
78753,98888,"jerome1-1097","6-jerome","Hanford","CA","Alton","IL","1943-08-27 00:00:00",38.8906,-90.18428,36.220468,-119.71776
78754,98909,"jerome1-1118","6-jerome","Lemoore","CA","Chicago","IL","1943-06-18 00:00:00",41.88531,-87.62213,36.268194,-119.817274
78755,98910,"jerome1-1119","6-jerome","Lemoore","CA","St. Louis","MO","1943-06-15 00:00:00",38.631501,-90.19231,36.268194,-119.817274
78756,98911,"jerome1-1120","6-jerome","Lemoore","CA","Lincoln","NE","1943-02-08 00:00:00",40.865142,-96.823133,36.268194,-119.817274
78757,98912,"jerome1-1121","6-jerome","Lemoore","CA","Madison","WI","1943-04-01 00:00:00",43.06956,-89.423861,36.268194,-119.817274
78758,98913,"jerome1-1122","6-jerome","Lemoore","CA","Cozad","NE","1943-03-15 00:00:00",40.895003,-99.967448,36.268194,-119.817274
78759,98914,"jerome1-1123","6-jerome","Lemoore","CA","Madison","WI","1943-06-18 00:00:00",43.06956,-89.423861,36.268194,-119.817274
78760,98939,"jerome1-1148","6-jerome","Long Beach","CA","Omaha","NE","1943-06-28 00:00:00",41.291736,-96.171104,33.804309,-118.200957
78761,98947,"jerome1-1156","6-jerome","Fowler","CA","Waukegan","IL","1944-03-29 00:00:00",42.322814,-87.610053,36.623402,-119.691869
78762,98948,"jerome1-1157","6-jerome","Fowler","CA","Waukegan","IL","1944-03-29 00:00:00",42.322814,-87.610053,36.623402,-119.691869
78763,98949,"jerome1-1158","6-jerome","Long Beach","CA","Cincinnati","OH","1943-06-07 00:00:00",39.166759,-84.53822,33.804309,-118.200957
78764,98950,"jerome1-1159","6-jerome","San Francisco","CA","Cincinnati","OH","1943-06-07 00:00:00",39.166759,-84.53822,37.776646,-122.417481
78765,98951,"jerome1-1160","6-jerome","Fresno","CA","Chicago","IL","1943-06-07 00:00:00",41.88531,-87.62213,36.8411,-119.801015
78766,98960,"jerome1-1169","6-jerome","Fresno","CA","Des Moines","IA","1943-10-27 00:00:00",41.672687,-93.572173,36.8411,-119.801015
78767,98974,"jerome1-1183","6-jerome","Isleton","CA","New York","NY","1944-05-29 00:00:00",40.750422,-73.996328,38.16186,-121.61162
78769,98995,"jerome1-1204","6-jerome","Los Angeles","CA","Meade","KS","1943-06-03 00:00:00",37.238357,-100.316583,33.973951,-118.248405
78770,98996,"jerome1-1205","6-jerome","Torrance","CA","St. Louis","MO","1943-05-17 00:00:00",38.631501,-90.19231,33.835665,-118.303805
78771,98999,"jerome1-1208","6-jerome","Torrance","CA","Ann Arbor","MI","1943-04-22 00:00:00",42.266638,-83.849042,33.835665,-118.303805
78772,99001,"jerome1-1210","6-jerome","Fresno","CA","Brighton","CO","1943-12-08 00:00:00",39.942984,-104.786597,36.8411,-119.801015
78773,99003,"jerome1-1212","6-jerome","Fresno","CA","Webster Groves","MO","1943-03-29 00:00:00",38.592553,-90.357339,36.8411,-119.801015
78774,99004,"jerome1-1213","6-jerome","Fresno","CA","Kirkwood","MO","1943-05-12 00:00:00",38.583386,-90.406785,36.8411,-119.801015
78775,99012,"jerome1-1221","6-jerome","Fresno","CA","Little Rock","AR","1943-07-01 00:00:00",34.746905,-92.280049,36.8411,-119.801015
78776,99032,"jerome1-1241","6-jerome","Hanford","CA","Monroe","MI","1943-04-01 00:00:00",41.907196,-83.472457,36.220468,-119.71776
78777,99041,"jerome1-1250","6-jerome","Wilmington","CA","Winnetka","IL","1943-05-10 00:00:00",42.10808,-87.7359,33.779417,-118.253853
78778,99043,"jerome1-1252","6-jerome","Wilmington","CA","Chicago","IL","1943-05-05 00:00:00",41.88531,-87.62213,33.779417,-118.253853
78779,99045,"jerome1-1254","6-jerome","Wilmington","CA","Milwaukee","WI","1943-06-15 00:00:00",43.011264,-87.958409,33.779417,-118.253853
